Yıl,Albüm
2005,"Bahane Remixes Tarih: 23 Haziran 2005 Format: CD, LP, Dijital"
2011,"Öptüm Remix Tarih: 6 Aralık 2011 Format: CD, Dijital"
2017,"Biraz Pop Biraz Sezen Remix Tarih: 14 Ağustos 2017 Format: CD, Dijital"
